team,number,player,position,height,weight,dob,yoe,college,country
Boston Celtics,7.0,Jaylen Brown,SF,6-6,223,"October 24, 1996",6,California,United States
Boston Celtics,0.0,Jayson Tatum,SF,6-8,210,"March 3, 1998",5,Duke,United States
Boston Celtics,13.0,Malcolm Brogdon,PG,6-5,229,"December 11, 1992",6,Virginia,United States
Boston Celtics,12.0,Grant Williams,PF,6-6,236,"November 30, 1998",3,Tennessee,United States
Boston Celtics,36.0,Marcus Smart,PG,6-3,220,"March 6, 1994",8,Oklahoma State,United States
Boston Celtics,9.0,Derrick White,SG,6-4,190,"July 2, 1994",5,"Colorado-Colorado Springs, Colorado",United States
Boston Celtics,4.0,Noah Vonleh,PF,6-10,257,"August 24, 1995",7,Indiana,United States
Boston Celtics,91.0,Blake Griffin,PF,6-9,250,"March 16, 1989",12,Oklahoma,United States
Boston Celtics,30.0,Sam Hauser,PF,6-8,215,"December 8, 1997",1,"Marquette, Virginia",United States
Boston Celtics,,JD Davison (TW),PG,6-3,195,"October 3, 2002",R,Alabama,United States
Boston Celtics,,Luke Kornet,C,7-2,250,"July 15, 1995",5,Vanderbilt,United States
Boston Celtics,,Robert Williams,C,6-8,237,"October 17, 1997",4,Texas A&M,United States
Boston Celtics,,Justin Jackson,SF,6-8,220,"March 28, 1995",5,UNC,United States
Boston Celtics,,Payton Pritchard,SG,6-1,195,"January 28, 1998",2,Oregon,United States
Brooklyn Nets,7.0,Kevin Durant,SF,6-10,240,"September 29, 1988",14,Texas,United States
Brooklyn Nets,33.0,Nic Claxton,C,6-11,215,"April 17, 1999",3,Georgia,United States
Brooklyn Nets,0.0,Royce O'Neale,SF,6-4,226,"June 5, 1993",5,"Denver, Baylor",United States
Brooklyn Nets,4.0,Edmond Sumner,SG,6-4,196,"December 31, 1995",4,Xavier,United States
Brooklyn Nets,20.0,Day'Ron Sharpe,C,6-11,265,"November 6, 2001",1,UNC,United States
Brooklyn Nets,14.0,Kessler Edwards,SF,6-8,215,"August 9, 2000",1,Pepperdine,United States
Brooklyn Nets,13.0,Markieff Morris,PF,6-9,245,"September 2, 1989",11,Kansas,United States
Brooklyn Nets,,Alondes Williams (TW),SG,6-5,210,"June 19, 1999",R,"Triton College, Oklahoma, Wake Forest",United States
Brooklyn Nets,,David Duke Jr. (TW),SG,6-5,205,"October 13, 1999",1,Providence,United States
Brooklyn Nets,,T.J. Warren,SF,6-8,220,"September 5, 1993",7,NC State,United States
Brooklyn Nets,,Joe Harris,SG,6-6,220,"September 6, 1991",8,Virginia,United States
Brooklyn Nets,,Seth Curry,SG,6-2,185,"August 23, 1990",8,"Liberty, Duke",United States
Toronto Raptors,33.0,Gary Trent Jr.,SG,6-5,209,"January 18, 1999",4,Duke,United States
Toronto Raptors,23.0,Fred VanVleet,PG,6-1,197,"February 25, 1994",6,Wichita State,United States
Toronto Raptors,4.0,Scottie Barnes,SF,6-9,227,"August 1, 2001",1,Florida State,United States
Toronto Raptors,21.0,Thaddeus Young,PF,6-8,235,"June 21, 1988",15,Georgia Tech,United States
Toronto Raptors,,Malachi Flynn,PG,6-1,175,"May 10, 1998",2,"Washington State, San Diego State",United States
Toronto Raptors,,Otto Porter Jr.,SF,6-8,198,"June 3, 1993",9,Georgetown,United States
Toronto Raptors,,Justin Champagnie,SF,6-6,200,"June 29, 2001",1,Pitt,United States
Toronto Raptors,,Ron Harper Jr. (TW),SF,6-6,245,"April 12, 2000",R,Rutgers University,United States
Toronto Raptors,,Jeff Dowtin (TW),PG,6-3,185,"May 10, 1997",1,Rhode Island,United States
Philadelphia 76ers,1.0,James Harden,SG,6-5,220,"August 26, 1989",13,Arizona State,United States
Philadelphia 76ers,0.0,Tyrese Maxey,SG,6-2,200,"November 4, 2000",2,Kentucky,United States
Philadelphia 76ers,12.0,Tobias Harris,PF,6-8,226,"July 15, 1992",11,Tennessee,United States
Philadelphia 76ers,17.0,P.J. Tucker,SF,6-5,245,"May 5, 1985",11,Texas,United States
Philadelphia 76ers,8.0,De'Anthony Melton,PG,6-2,200,"May 28, 1998",4,USC,United States
Philadelphia 76ers,20.0,Georges Niang,PF,6-7,230,"June 17, 1993",6,Iowa State,United States
Philadelphia 76ers,5.0,Montrezl Harrell,C,6-7,240,"January 26, 1994",7,Louisville,United States
Philadelphia 76ers,25.0,Danuel House Jr.,SF,6-6,220,"June 7, 1993",6,Texas A&M,United States
Philadelphia 76ers,22.0,Matisse Thybulle,SG,6-5,201,"March 4, 1997",3,Washington,United States
Philadelphia 76ers,,Shake Milton,SG,6-5,205,"September 26, 1996",4,SMU,United States
Philadelphia 76ers,,Paul Reed,PF,6-9,210,"June 14, 1999",2,DePaul,United States
Philadelphia 76ers,,Jaden Springer,PG,6-4,204,"September 25, 2002",1,Tennessee,United States
Philadelphia 76ers,,Julian Champagnie (TW),SF,6-8,220,"June 29, 2001",R,St. John's,United States
Philadelphia 76ers,,Michael Foster Jr. (TW),PF,6-8,250,"January 16, 2003",R,,United States
New York Knicks,30.0,Julius Randle,PF,6-8,250,"November 29, 1994",8,Kentucky,United States
New York Knicks,0.0,Cam Reddish,SF,6-8,218,"September 1, 1999",3,Duke,United States
New York Knicks,55.0,Isaiah Hartenstein,C,7-0,250,"May 5, 1998",4,,United States
New York Knicks,11.0,Jalen Brunson,PG,6-1,190,"August 31, 1996",4,Villanova,United States
New York Knicks,4.0,Derrick Rose,PG,6-2,200,"October 4, 1988",13,Memphis,United States
New York Knicks,23.0,Mitchell Robinson,C,7-0,240,"April 1, 1998",4,Western Kentucky,United States
New York Knicks,1.0,Obi Toppin,PF,6-9,220,"March 4, 1998",2,Dayton,United States
New York Knicks,5.0,Immanuel Quickley,PG,6-3,190,"June 17, 1999",2,Kentucky,United States
New York Knicks,,Miles McBride,PG,6-2,200,"September 8, 2000",1,West Virginia,United States
New York Knicks,,Quentin Grimes,SG,6-5,205,"May 8, 2000",1,"Kansas, Houston",United States
New York Knicks,,Jericho Sims,C,6-10,245,"October 20, 1998",1,Texas,United States
New York Knicks,,Trevor Keels (TW),SG,6-5,221,"August 26, 2003",R,Duke,United States
New York Knicks,,Ryan Arcidiacono,PG,6-3,195,"March 26, 1994",5,Villanova,United States
Minnesota Timberwolves,0.0,D'Angelo Russell,PG,6-4,193,"February 23, 1996",7,Ohio State,United States
Minnesota Timberwolves,3.0,Jaden McDaniels,PF,6-9,185,"September 29, 2000",2,Washington,United States
Minnesota Timberwolves,4.0,Jaylen Nowell,SG,6-4,201,"July 9, 1999",3,Washington,United States
Minnesota Timberwolves,32.0,Karl-Anthony Towns,C,6-11,248,"November 15, 1995",7,Kentucky,United States
Minnesota Timberwolves,1.0,Anthony Edwards,SG,6-4,225,"August 5, 2001",2,Georgia,United States
Minnesota Timberwolves,12.0,Taurean Prince,PF,6-7,218,"March 22, 1994",6,Baylor,United States
Minnesota Timberwolves,6.0,Jordan McLaughlin,PG,5-11,185,"April 9, 1996",3,USC,United States
Minnesota Timberwolves,5.0,Kyle Anderson,SF,6-9,230,"September 20, 1993",8,UCLA,United States
Minnesota Timberwolves,10.0,Bryn Forbes,SG,6-2,205,"July 23, 1993",6,Michigan State,United States
Minnesota Timberwolves,25.0,Austin Rivers,SG,6-4,200,"August 1, 1992",10,Duke,United States
Minnesota Timberwolves,,Naz Reid,C,6-9,264,"August 26, 1999",3,LSU,United States
Minnesota Timberwolves,,Wendell Moore Jr.,SG,6-5,213,"September 18, 2001",R,Duke,United States
Minnesota Timberwolves,,Josh Minott,SF,6-8,205,"November 25, 2002",R,Memphis,United States
Minnesota Timberwolves,,Nathan Knight,PF,6-10,253,"September 20, 1997",2,William & Mary,United States
Minnesota Timberwolves,,Luka Garza (TW),C,6-11,235,"December 27, 1998",1,Iowa,United States
Oklahoma City Thunder,23.0,Tre Mann,PG,6-3,178,"February 3, 2001",1,Florida,United States
Oklahoma City Thunder,55.0,Darius Bazley,PF,6-8,208,"June 12, 2000",3,,United States
Oklahoma City Thunder,50.0,Jeremiah Robinson-Earl,PF,6-9,230,"November 3, 2000",1,Villanova,United States
Oklahoma City Thunder,34.0,Kenrich Williams,PF,6-6,210,"December 2, 1994",4,TCU,United States
Oklahoma City Thunder,8.0,Jalen Williams,SG,6-6,195,"April 14, 2001",R,Santa Clara,United States
Oklahoma City Thunder,33.0,Mike Muscala,C,6-10,240,"July 1, 1991",9,Bucknell,United States
Oklahoma City Thunder,11.0,Isaiah Joe,SG,6-4,165,"July 2, 1999",2,Arkansas,United States
Oklahoma City Thunder,,Aaron Wiggins,SG,6-6,200,"January 2, 1999",1,Maryland,United States
Oklahoma City Thunder,,Chet Holmgren,PF,7-0,195,"May 1, 2002",R,Gonzaga,United States
Oklahoma City Thunder,,Jaylin Williams,PF,6-10,240,"June 29, 2002",R,Arkansas,United States
Denver Nuggets,50.0,Aaron Gordon,PF,6-8,235,"September 16, 1995",8,Arizona,United States
Denver Nuggets,1.0,Michael Porter Jr.,SF,6-10,218,"June 29, 1998",3,Missouri,United States
Denver Nuggets,3.0,Bones Hyland,PG,6-3,173,"September 14, 2000",1,VCU,United States
Denver Nuggets,11.0,Bruce Brown,PG,6-4,202,"August 15, 1996",4,Miami (FL),United States
Denver Nuggets,32.0,Jeff Green,PF,6-8,235,"August 28, 1986",14,Georgetown,United States
Denver Nuggets,5.0,Kentavious Caldwell-Pope,SG,6-5,204,"February 18, 1993",9,Georgia,United States
Denver Nuggets,14.0,Ish Smith,PG,6-0,175,"July 5, 1988",12,Wake Forest,United States
Denver Nuggets,0.0,Christian Braun,SG,6-7,218,"April 17, 2001",R,Kansas,United States
Denver Nuggets,8.0,Peyton Watson,SG,6-8,200,"September 11, 2002",R,UCLA,United States
Denver Nuggets,6.0,DeAndre Jordan,C,6-11,265,"July 21, 1988",14,Texas A&M,United States
Denver Nuggets,9.0,Davon Reed,SG,6-5,208,"June 11, 1995",3,Miami (FL),United States
Denver Nuggets,,Zeke Nnaji,PF,6-9,240,"January 9, 2001",2,Arizona,United States
Denver Nuggets,,Collin Gillespie (TW),PG,6-3,195,"June 25, 1999",R,Villanova,United States
Portland Trail Blazers,9.0,Jerami Grant,PF,6-8,210,"March 12, 1994",8,Syracuse,United States
Portland Trail Blazers,1.0,Anfernee Simons,SG,6-3,181,"June 8, 1999",4,,United States
Portland Trail Blazers,0.0,Damian Lillard,PG,6-2,195,"July 15, 1990",10,Weber State,United States
Portland Trail Blazers,11.0,Josh Hart,SG,6-5,215,"March 6, 1995",5,Villanova,United States
Portland Trail Blazers,26.0,Justise Winslow,SF,6-6,222,"March 26, 1996",7,Duke,United States
Portland Trail Blazers,10.0,Nassir Little,PF,6-5,220,"February 11, 2000",3,UNC,United States
Portland Trail Blazers,24.0,Drew Eubanks,C,6-9,245,"February 1, 1997",4,Oregon State,United States
Portland Trail Blazers,,Keon Johnson,SG,6-5,186,"March 10, 2002",1,Tennessee,United States
Portland Trail Blazers,,Greg Brown III,PF,6-9,205,"September 1, 2001",1,Texas,United States
Portland Trail Blazers,,Trendon Watford,PF,6-9,240,"November 9, 2000",1,LSU,United States
Portland Trail Blazers,,Gary Payton II,PG,6-3,190,"December 1, 1992",6,Oregon State,United States
Portland Trail Blazers,,Jabari Walker,SF,6-9,215,"July 30, 2002",R,Colorado,United States
Utah Jazz,2.0,Collin Sexton,SG,6-1,190,"January 4, 1999",4,Alabama,United States
Utah Jazz,22.0,Rudy Gay,SF,6-8,250,"August 17, 1986",16,UConn,United States
Utah Jazz,5.0,Malik Beasley,SG,6-4,187,"November 26, 1996",6,Florida State,United States
Utah Jazz,11.0,Mike Conley,PG,6-1,175,"October 11, 1987",15,Ohio State,United States
Utah Jazz,24.0,Walker Kessler,C,7-1,245,"July 26, 2001",R,"UNC, Auburn",United States
Utah Jazz,0.0,Jordan Clarkson,SG,6-4,194,"June 7, 1992",8,"Tulsa, Missouri",United States
Utah Jazz,8.0,Jarred Vanderbilt,PF,6-9,214,"April 3, 1999",4,Kentucky,United States
Utah Jazz,0.0,Talen Horton-Tucker,SG,6-4,234,"November 25, 2000",3,Iowa State,United States
Utah Jazz,30.0,Ochai Agbaji,SG,6-5,215,"April 20, 2000",R,Kansas,United States
Utah Jazz,,Johnny Juzang (TW),SF,6-7,215,"March 17, 2001",R,"Kentucky, UCLA",United States
Utah Jazz,,Micah Potter (TW),PF,6-10,248,"April 6, 1998",1,"Ohio State, Wisconsin",United States
Chicago Bulls,11.0,DeMar DeRozan,SG,6-6,220,"August 7, 1989",13,USC,United States
Chicago Bulls,12.0,Ayo Dosunmu,SG,6-5,200,"January 17, 2000",1,Illinois,United States
Chicago Bulls,0.0,Coby White,PG,6-5,195,"February 16, 2000",3,UNC,United States
Chicago Bulls,3.0,Andre Drummond,C,6-10,279,"August 10, 1993",10,UConn,United States
Chicago Bulls,6.0,Alex Caruso,PG,6-4,186,"February 28, 1994",5,Texas A&M,United States
Chicago Bulls,24.0,Javonte Green,SG,6-4,205,"July 23, 1993",3,Radford,United States
Chicago Bulls,44.0,Patrick Williams,PF,6-7,215,"August 26, 2001",2,Florida State,United States
Chicago Bulls,,Lonzo Ball,PG,6-6,190,"October 27, 1997",5,UCLA,United States
Chicago Bulls,,Tony Bradley,C,6-10,248,"January 8, 1998",5,UNC,United States
Chicago Bulls,,Derrick Jones Jr.,SF,6-5,210,"February 15, 1997",6,UNLV,United States
Chicago Bulls,,Dalen Terry,SG,6-7,195,"July 12, 2002",R,Arizona,United States
Chicago Bulls,,Zach LaVine,SG,6-5,200,"March 10, 1995",8,UCLA,United States
Chicago Bulls,,Malcolm Hill (TW),SF,6-6,220,"October 26, 1995",1,Illinois,United States
Cleveland Cavaliers,45.0,Donovan Mitchell,SG,6-1,215,"September 7, 1996",5,Louisville,United States
Cleveland Cavaliers,4.0,Evan Mobley,C,7-0,215,"June 18, 2001",1,USC,United States
Cleveland Cavaliers,31.0,Jarrett Allen,C,6-11,243,"April 21, 1998",5,Texas,United States
Cleveland Cavaliers,3.0,Caris LeVert,SG,6-6,205,"August 25, 1994",6,Michigan,United States
Cleveland Cavaliers,0.0,Kevin Love,PF,6-8,251,"September 7, 1988",14,UCLA,United States
Cleveland Cavaliers,32.0,Dean Wade,PF,6-9,228,"November 20, 1996",3,Kansas State,United States
Cleveland Cavaliers,10.0,Darius Garland,PG,6-1,192,"January 26, 2000",3,Vanderbilt,United States
Cleveland Cavaliers,35.0,Isaac Okoro,SG,6-5,225,"January 26, 2001",2,Auburn,United States
Cleveland Cavaliers,,Dylan Windler,SF,6-6,196,"September 22, 1996",2,Belmont,United States
Cleveland Cavaliers,,Lamar Stevens,PF,6-6,230,"July 9, 1997",2,Penn State,United States
Cleveland Cavaliers,,Isaiah Mobley (TW),PF,6-10,240,"September 24, 1999",R,USC,United States
Cleveland Cavaliers,,Robin Lopez,C,7-0,281,"April 1, 1988",14,Stanford,United States
Detroit Pistons,23.0,Jaden Ivey,SG,6-4,195,"February 13, 2002",R,Purdue,United States
Detroit Pistons,2.0,Cade Cunningham,PG,6-6,220,"September 25, 2001",1,Oklahoma State,United States
Detroit Pistons,28.0,Isaiah Stewart,C,6-8,250,"May 22, 2001",2,Washington,United States
Detroit Pistons,0.0,Jalen Duren,C,6-10,250,"November 18, 2003",R,Memphis,United States
Detroit Pistons,41.0,Saddiq Bey,SF,6-7,215,"April 9, 1999",2,Villanova,United States
Detroit Pistons,7.0,Killian Hayes,PG,6-5,195,"July 27, 2001",2,,United States
Detroit Pistons,20.0,Kevin Knox,SF,6-7,215,"August 11, 1999",4,Kentucky,United States
Detroit Pistons,6.0,Hamidou Diallo,SG,6-5,202,"July 31, 1998",4,Kentucky,United States
Detroit Pistons,,Isaiah Livers,PF,6-7,230,"July 28, 1998",1,Michigan,United States
Detroit Pistons,,Nerlens Noel,C,6-11,220,"April 10, 1994",8,Kentucky,United States
Detroit Pistons,,Alec Burks,SG,6-6,214,"July 20, 1991",11,Colorado,United States
Detroit Pistons,,Buddy Boeheim (TW),PG,6-6,205,"November 11, 1999",R,Syracuse,United States
Detroit Pistons,,Marvin Bagley III,PF,6-11,235,"March 14, 1999",4,Duke,United States
Detroit Pistons,,Rodney McGruder,SG,6-4,205,"July 29, 1991",6,Kansas State,United States
Indiana Pacers,0.0,Tyrese Haliburton,PG,6-5,185,"February 29, 2000",2,Iowa State,United States
Indiana Pacers,25.0,Jalen Smith,PF,6-10,215,"March 16, 2000",2,Maryland,United States
Indiana Pacers,9.0,T.J. McConnell,PG,6-1,190,"March 25, 1992",7,"Duquesne, Arizona",United States
Indiana Pacers,21.0,Terry Taylor,SG,6-5,230,"September 23, 1999",1,Austin Peay State University,United States
Indiana Pacers,23.0,Aaron Nesmith,SF,6-5,215,"October 16, 1999",2,Vanderbilt,United States
Indiana Pacers,22.0,Isaiah Jackson,PF,6-10,206,"January 10, 2002",1,Kentucky,United States
Indiana Pacers,,Myles Turner,C,6-11,250,"March 24, 1996",7,Texas,United States
Indiana Pacers,,Kendall Brown (TW),SG,6-8,205,"May 11, 2003",R,Baylor,United States
Indiana Pacers,,James Johnson,PF,6-7,240,"February 20, 1987",13,Wake Forest,United States
Indiana Pacers,,Trevelin Queen (TW),PG,6-6,190,"February 25, 1997",1,"College of Marin, New Mexico Military Institute, New Mexico State",United States
Milwaukee Bucks,,Brook Lopez,C,7-0,282,"April 1, 1988",14,Stanford,United States
Milwaukee Bucks,,Khris Middleton,SF,6-7,222,"August 12, 1991",10,Texas A&M,United States
Milwaukee Bucks,,Pat Connaughton,SG,6-5,209,"January 6, 1993",7,Notre Dame,United States
Milwaukee Bucks,,Jrue Holiday,PG,6-3,205,"June 12, 1990",13,UCLA,United States
Milwaukee Bucks,,George Hill,PG,6-4,188,"May 4, 1986",14,IUPUI,United States
Milwaukee Bucks,,Grayson Allen,SG,6-4,198,"October 8, 1995",4,Duke,United States
Milwaukee Bucks,,AJ Green (TW),SG,6-4,200,"September 27, 1999",R,University of Northern Iowa,United States
Milwaukee Bucks,,Jevon Carter,PG,6-1,200,"September 14, 1995",4,West Virginia,United States
Milwaukee Bucks,,Bobby Portis,PF,6-10,250,"February 10, 1995",7,Arkansas,United States
Milwaukee Bucks,,Wesley Matthews,SG,6-4,220,"October 14, 1986",13,Marquette,United States
Milwaukee Bucks,,MarJon Beauchamp,SF,6-6,199,"October 12, 2000",R,Yakima Valley Community College,United States
Milwaukee Bucks,,Jordan Nwora,SF,6-8,225,"September 9, 1998",2,Louisville,United States
Los Angeles Lakers,6.0,LeBron James,SF,6-9,250,"December 30, 1984",19,,United States
Los Angeles Lakers,3.0,Anthony Davis,PF,6-10,253,"March 11, 1993",10,Kentucky,United States
Los Angeles Lakers,0.0,Russell Westbrook,PG,6-3,200,"November 12, 1988",14,UCLA,United States
Los Angeles Lakers,12.0,Kendrick Nunn,PG,6-2,190,"August 3, 1995",2,"Illinois, Oakland",United States
Los Angeles Lakers,4.0,Lonnie Walker IV,SG,6-4,204,"December 14, 1998",4,Miami (FL),United States
Los Angeles Lakers,37.0,Matt Ryan,SF,6-7,215,"April 17, 1997",1,"Notre Dame, Vanderbilt, Chattanooga",United States
Los Angeles Lakers,15.0,Austin Reaves,SG,6-5,206,"May 29, 1998",1,"Wichita State, Oklahoma",United States
Los Angeles Lakers,10.0,Max Christie,SG,6-6,190,"February 10, 2003",R,Michigan State,United States
Los Angeles Lakers,21.0,Patrick Beverley,PG,6-1,180,"July 12, 1988",10,Arkansas,United States
Los Angeles Lakers,14.0,Scotty Pippen Jr. (TW),PG,6-3,185,"November 10, 2000",R,Vanderbilt,United States
Los Angeles Lakers,95.0,Juan Toscano-Anderson,SF,6-6,209,"April 10, 1993",3,Marquette,United States
Los Angeles Lakers,20.0,Cole Swider (TW),SF,6-9,220,"May 8, 1999",R,"Villanova, Syracuse",United States
Los Angeles Lakers,,Troy Brown Jr.,SF,6-6,215,"July 28, 1999",4,Oregon,United States
Los Angeles Lakers,,Damian Jones,C,6-11,245,"June 30, 1995",6,Vanderbilt,United States
Los Angeles Lakers,,Thomas Bryant,C,6-10,248,"July 31, 1997",5,Indiana,United States
Los Angeles Clippers,,Terance Mann,SG,6-5,215,"October 18, 1996",3,Florida State,United States
Los Angeles Clippers,,Marcus Morris,PF,6-8,218,"September 2, 1989",11,Kansas,United States
Los Angeles Clippers,,Paul George,SF,6-8,220,"May 2, 1990",12,Fresno State,United States
Los Angeles Clippers,,Luke Kennard,SG,6-5,206,"June 24, 1996",5,Duke,United States
Los Angeles Clippers,,Norman Powell,SG,6-3,215,"May 25, 1993",7,UCLA,United States
Los Angeles Clippers,,Brandon Boston Jr.,SG,6-7,185,"November 28, 2001",1,Kentucky,United States
Los Angeles Clippers,,Jason Preston,PG,6-4,187,"August 10, 1999",R,Ohio University,United States
Los Angeles Clippers,,Kawhi Leonard,SF,6-7,225,"June 29, 1991",10,San Diego State,United States
Los Angeles Clippers,,Robert Covington,SF,6-7,209,"December 14, 1990",9,Tennessee State,United States
Los Angeles Clippers,,Amir Coffey,SG,6-7,210,"June 17, 1997",3,Minnesota,United States
Los Angeles Clippers,,John Wall,PG,6-3,210,"September 6, 1990",10,Kentucky,United States
Los Angeles Clippers,,Moses Brown (TW),C,7-2,245,"October 13, 1999",3,UCLA,United States
Golden State Warriors,30.0,Stephen Curry,PG,6-2,185,"March 14, 1988",13,Davidson,United States
Golden State Warriors,11.0,Klay Thompson,SG,6-6,215,"February 8, 1990",9,Washington State,United States
Golden State Warriors,3.0,Jordan Poole,SG,6-4,194,"June 19, 1999",3,Michigan,United States
Golden State Warriors,33.0,James Wiseman,C,7-0,240,"March 31, 2001",1,Memphis,United States
Golden State Warriors,0.0,Donte DiVincenzo,SG,6-4,203,"January 31, 1997",4,Villanova,United States
Golden State Warriors,1.0,JaMychal Green,PF,6-8,227,"June 21, 1990",8,Alabama,United States
Golden State Warriors,5.0,Kevon Looney,PF,6-9,222,"February 6, 1996",7,UCLA,United States
Golden State Warriors,4.0,Moses Moody,SG,6-6,205,"May 31, 2002",1,Arkansas,United States
Golden State Warriors,23.0,Draymond Green,PF,6-6,230,"March 4, 1990",10,Michigan State,United States
Golden State Warriors,2.0,Ryan Rollins,PG,6-4,180,"July 3, 2002",R,Toledo,United States
Golden State Warriors,,Patrick Baldwin Jr.,SF,6-9,220,"November 18, 2002",R,UW-Milwaukee,United States
Golden State Warriors,,Andre Iguodala,SF,6-6,215,"January 28, 1984",18,Arizona,United States
Golden State Warriors,,Ty Jerome (TW),SG,6-5,195,"July 8, 1997",3,Virginia,United States
Golden State Warriors,,Anthony Lamb (TW),SF,6-6,227,"January 20, 1998",2,University of Vermont,United States
Phoenix Suns,1.0,Devin Booker,SG,6-5,206,"October 30, 1996",7,Kentucky,United States
Phoenix Suns,23.0,Cameron Johnson,PF,6-8,210,"March 3, 1996",3,"Pitt, UNC",United States
Phoenix Suns,25.0,Mikal Bridges,SF,6-6,209,"August 30, 1996",4,Villanova,United States
Phoenix Suns,10.0,Damion Lee,SG,6-5,210,"October 21, 1992",5,"Drexel, Louisville",United States
Phoenix Suns,15.0,Cameron Payne,PG,6-1,183,"August 8, 1994",7,Murray State,United States
Phoenix Suns,3.0,Chris Paul,PG,6-0,175,"May 6, 1985",17,Wake Forest,United States
Phoenix Suns,0.0,Torrey Craig,SF,6-7,221,"December 19, 1990",5,USC Upstate,United States
Phoenix Suns,,Jae Crowder,SF,6-6,235,"July 6, 1990",10,Marquette,United States
Phoenix Suns,,Landry Shamet,SG,6-4,190,"March 13, 1997",4,Wichita State,United States
Phoenix Suns,,Ish Wainright (TW),SF,6-6,250,"September 12, 1994",1,Baylor,United States
Sacremento Kings,5.0,De'Aaron Fox,PG,6-3,185,"December 20, 1997",5,Kentucky,United States
Sacremento Kings,9.0,Kevin Huerter,SG,6-7,190,"August 27, 1998",4,Maryland,United States
Sacremento Kings,3.0,Terence Davis,SG,6-4,201,"May 16, 1997",3,Ole Miss,United States
Sacremento Kings,10.0,Domantas Sabonis,PF,6-11,240,"May 3, 1996",6,Gonzaga,United States
Sacremento Kings,40.0,Harrison Barnes,SF,6-8,225,"May 30, 1992",10,UNC,United States
